Node=>choix4;ChangeStory=>Taverne[taverne-debut/milieu foret];ChangeStory=>Bandits[arrivée bandits/milieu foret];ChangeStory=>Hangar[charpentier/milieu foret];ChangeStory=>Epave[debut/milieu foret];ChangeStory=>Armurier[debut/milieu foret];ChangeStory=>Devin[debut/milieu foret];ChangeStory=>Armes[debut/milieu foret];;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[random-ouest];;;;;;;;;;;;;
RandomRange10;;;;;;;;;;;;;
Narrator : Le bois s'arrête ici, CAPITAINE tombe nez à nez à la plage.;Narrator : Sur le chemin une fumée succulente flotte dans l'herbe. Une pancarte indique « Venez manger et boire »;Narrator : Des rires gras et des bruits de métal résonnent. Ça ne dit rien qui vaille.;Narrator : L'air sent la sciure et le fer. CAPITAINE s'approche évidemment d'un hangar.;Narrator : CAPITAINE tombe sur une grande plage de sable. Derrière les dunes un petit navire s'est échoué sur des rochers;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;ChangeStory=>Manoir[debut/milieu foret];ChangeStory=>Verger[debut/milieu foret];;;;
Node=>choix4;ChangeStory=>Taverne[taverne-debut/milieu foret];ChangeStory=>Bandits[arrivée bandits/milieu foret];ChangeStory=>Hangar[charpentier/milieu foret];ChangeStory=>Epave[debut/milieu foret];ChangeStory=>Armurier[debut/milieu foret];ChangeStory=>Devin[debut/milieu foret];ChangeStory=>Armes[debut/milieu foret];;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[random-nord];;;;;;;;;;;;;
RandomRange10;;;;;;;;;;;;;
Narrator : Le bois s'arrête ici, CAPITAINE tombe nez à nez à la plage.;Narrator : Sur le chemin une fumée succulente flotte dans l'herbe. Une pancarte indique « Venez manger et boire »;Narrator : Des rires gras et des bruits de métal résonnent. Ça ne dit rien qui vaille.;Narrator : L'air sent la sciure et le fer. CAPITAINE s'approche évidemment d'un hangar.;Narrator : CAPITAINE tombe sur une grande plage de sable. Derrière les dunes un petit navire s'est échoué sur des rochers;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;ChangeStory=>Manoir[debut/milieu foret];ChangeStory=>Verger[debut/milieu foret];;;;
Node=>choix4;ChangeStory=>Taverne[taverne-debut/milieu foret];ChangeStory=>Bandits[arrivée bandits/milieu foret];ChangeStory=>Hangar[charpentier/milieu foret];ChangeStory=>Epave[debut/milieu foret];ChangeStory=>Armurier[debut/milieu foret];ChangeStory=>Devin[debut/milieu foret];ChangeStory=>Armes[debut/milieu foret];;;;;;
